Date,Headline,URL
01/28/1986,24-HOUR DELAY CALLED FOR SHUTTLE FLIGHT AS WIND AND BALKY BOLT BAR LAUNCHING,https://www.nytimes.com/1986/01/28/science/24-hour-delay-called-for-shuttle-flight-as-wind-and-balky-bolt-bar-launching.html
01/27/1986,SHUTTLE LAUNCHING DELAYED AGAIN OVER WEATHER FEARS,https://www.nytimes.com/1986/01/27/us/shuttle-launching-delayed-again-over-weather-fears.html
01/26/1986,CLOUDY FORECAST DELAYS TEACHER'S SPACE FLIGHT,https://www.nytimes.com/1986/01/26/us/cloudy-forecast-delays-teacher-s-space-flight.html
01/24/1986,ASTRONAUTS ON HARD-LUCK FLIGHT FAILED TO GET A GLIMPSE OF COMET,https://www.nytimes.com/1986/01/24/us/astronauts-on-hard-luck-flight-failed-to-get-a-glimpse-of-comet.html
01/21/1986,Crews Race to Repair Shuttle For Halley Mission March 6,https://www.nytimes.com/1986/01/21/science/crews-race-to-repair-shuttle-for-halley-mission-march-6.html
01/19/1986,"SPACE SHUTTLE, DETOURED TO CALIFORNIA BY WEATHER, LANDS SAFELY UNDER FOODLIGHTS",https://www.nytimes.com/1986/01/19/us/space-shuttle-detoured-to-california-by-weather-lands-safely-under-foodlights.html
01/13/1986,ASTRONAUTS LAUNCH RCA SATELLITE,https://www.nytimes.com/1986/01/13/us/shuttle-in-space-after-7-delays-astronauts-launch-rca-satellite.html
01/11/1986,"SPACE SHUTTLE LIFT OFF DELAYED FOR 7TH TIME, SETTING RECORD",https://www.nytimes.com/1986/01/11/us/space-shuttle-lift-off-delayed-for-7th-time-setting-record.html
01/09/1986,VALVE PROBLEM PUTS OFF SHUTTLE'S LAUNCHING ONE MORE TIME,https://www.nytimes.com/1986/01/09/us/valve-problem-puts-off-shuttle-s-launching-one-more-time.html
01/09/1986,AT KENNEDY SPACE CENTER,https://www.nytimes.com/1986/01/09/us/at-kennedy-space-center.html
